n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.7375291931659461,0.7313146697875141,0.9940125,0.7409022789222648,0.00028823012293014745,[],ids2018,ids2018,multiclass,42,XGBoost,58.18244240000001,0.9108853999999837
80000,0.668605167263858,0.758266353259678,0.875275,0.7621045098766495,0.13468977145528996,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,DecisionTree,5.350707099999909,0.16940589999967415
80000,0.4550180130296492,0.7300960227762658,0.526075,0.6942484671446275,0.5324964223472236,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,DeepMLP,32.735688799999934,0.3303310000001147
80000,0.4906623665772695,0.7018730774306629,0.9411,0.6970845907505259,0.02530569448970628,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,FeatureCNN,56.77502289999984,0.7271021999999903
80000,0.7087841111352684,0.7650418853837749,0.9706375,0.78401122410444,0.02761522875724386,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,RandomForest,21.817596299999877,0.8234011999998074
80000,0.43908208582611075,0.7425345674743543,0.530375,0.6707374239569486,0.5273105969366791,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,ShallowMLP,13.026843799999824,0.18614639999987048
80000,0.7132797321556958,0.7633261954419802,0.990125,0.7604186159907294,0.005044136191677175,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,SoftVoting,83.01604459999999,2.069893100000172
80000,0.7128755268436413,0.7502747526261129,0.9944125,0.7763874850662392,0.00012752029698060273,['DoS attacks-SlowHTTPTest'],ids2018,ids2018,multiclass,1337,XGBoost,55.8477412000002,1.255478900000071
80000,0.500271950428232,0.6797922423009568,0.9852125,0.5383198447903551,0.005288282144649313,[],unsw,unsw,multiclass,7,DecisionTree,1.713742800000091,0.15099670000017795
80000,0.35828841202777095,0.6417990993175005,0.8944875,0.39166588792156964,0.09681030378671882,[],unsw,unsw,multiclass,7,DeepMLP,73.22267269999998,0.3584587999998803
80000,0.4097480546320506,0.6500380140819919,0.9810875,0.463167364995421,0.008698001775627582,[],unsw,unsw,multiclass,7,FeatureCNN,72.84911370000009,0.7499935000000733
