n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.5297778012499679,0.5191482496500859,0.9723125,0.5003743833656695,0.0002830710637038562,[],ids2018,unsw,binary,7,XGBoost,6.534511500000008,0.28148109999983717
80000,0.9582185496943261,0.9716692653894937,0.9802125,0.9824415082331558,0.016702935623802043,[],ids2018,ids2018,binary,42,DecisionTree,7.194460999999933,0.18246400000009544
80000,0.49309492954238376,0.49446708985392307,0.8936,0.5047225037107169,0.07400288322921672,[],ids2018,unsw,binary,42,DecisionTree,7.194460999999933,0.14723210000011022
80000,0.9852328213484065,0.9775444579243842,0.9933125,0.9834592197254042,0.0009943939241090086,[],ids2018,ids2018,binary,42,DeepMLP,40.69543479999993,0.46024499999998625
80000,0.497215159932607,0.5025998457041225,0.960075,0.4848187420367095,0.0027923165837630036,[],ids2018,unsw,binary,42,DeepMLP,40.69543479999993,0.6381536999999753
80000,0.9848135038271602,0.9778283174670881,0.9931125,0.9847840543707047,0.0013690930839182003,[],ids2018,ids2018,binary,42,FeatureCNN,58.21699910000001,0.5037234000000126
80000,0.4869035819917034,0.48544957386860316,0.91505,0.46528303059936754,0.050079873241814614,[],ids2018,unsw,binary,42,FeatureCNN,58.21699910000001,0.598395499999981
80000,0.9819057615213582,0.9774819571331672,0.99175,0.9872926687503147,0.003098473821499085,[],ids2018,ids2018,binary,42,RandomForest,22.82513229999995,0.4094322999999349
80000,0.4878066282692852,0.492940245463071,0.947025,0.4832288010619136,0.016117511071859943,[],ids2018,unsw,binary,42,RandomForest,22.82513229999995,0.27302450000001954
80000,0.9715152216378916,0.9739244175569283,0.986825,0.983597456812933,0.008517200132585856,[],ids2018,ids2018,binary,42,ShallowMLP,11.797015800000054,0.1526997000000847
