source,target,model,row,true_label,baseline,ranking,advantage,sufficiency_gap
ids2018,ids2018,DecisionTree,15077162,0,median,absolute,0.0,0.4666666666666666
ids2018,ids2018,DecisionTree,15077162,0,median,signed_descending,0.3333333333333333,0.0
ids2018,ids2018,DecisionTree,15077162,0,mean,absolute,0.0,0.6497519631060701
ids2018,ids2018,DecisionTree,15077162,0,mean,signed_descending,0.3333333333333333,0.89950392621214
ids2018,ids2018,DecisionTree,15680092,1,median,absolute,0.40926738623334513,1.0
ids2018,ids2018,DecisionTree,15680092,1,median,signed_descending,0.0,0.26666666666666666
ids2018,ids2018,DecisionTree,15680092,1,mean,absolute,0.0,0.9357497195562757
ids2018,ids2018,DecisionTree,15680092,1,mean,signed_descending,0.0,0.03624579334413558
ids2018,ids2018,DecisionTree,16435528,0,median,absolute,-0.006736665315930572,-0.05371044877277131
ids2018,ids2018,DecisionTree,16435528,0,median,signed_descending,0.004005424438623691,-0.05371044877277131
ids2018,ids2018,DecisionTree,16435528,0,mean,absolute,-0.13641287639637167,0.31102365562898276
ids2018,ids2018,DecisionTree,16435528,0,mean,signed_descending,0.017903482924257103,0.9100437578830931
ids2018,ids2018,DecisionTree,16716642,1,median,absolute,0.002123961026629854,1.0
ids2018,ids2018,DecisionTree,16716642,1,median,signed_descending,0.0,1.0
ids2018,ids2018,DecisionTree,16716642,1,mean,absolute,-0.13333333333333333,1.0
ids2018,ids2018,DecisionTree,16716642,1,mean,signed_descending,-0.13333333333333333,0.03624579334413558
ids2018,unsw,DeepMLP,181574,0,median,absolute,-0.004832355181376139,0.007172608375549315
ids2018,unsw,DeepMLP,181574,0,median,signed_descending,0.042346449693044026,-0.08234592676162719
ids2018,unsw,DeepMLP,181574,0,mean,absolute,0.0025043288866678872,0.30717921257019043
ids2018,unsw,DeepMLP,181574,0,mean,signed_descending,0.022947065035502118,0.14774799744288125
ids2018,unsw,DeepMLP,187230,0,median,absolute,-0.019460376103719076,-0.04593217372894287
ids2018,unsw,DeepMLP,187230,0,median,signed_descending,0.029721371332804364,-0.08975842793782551
ids2018,unsw,DeepMLP,187230,0,mean,absolute,-0.003568693002065023,0.25744726061820983
ids2018,unsw,DeepMLP,187230,0,mean,signed_descending,0.0200568159421285,0.1462261438369751
ids2018,unsw,DeepMLP,366286,0,median,absolute,-0.01098997990290324,0.09148043791453044
ids2018,unsw,DeepMLP,366286,0,median,signed_descending,0.21390341122945147,-0.004008928934733073
ids2018,unsw,DeepMLP,366286,0,mean,absolute,-0.007338738441467286,0.40069452126820887
ids2018,unsw,DeepMLP,366286,0,mean,signed_descending,0.18484560251235962,0.028067998091379803
ids2018,unsw,DeepMLP,427982,0,median,absolute,-0.010526069005330404,0.04973758459091187
ids2018,unsw,DeepMLP,427982,0,median,signed_descending,0.05307340621948242,0.006108335653940836
ids2018,unsw,DeepMLP,427982,0,mean,absolute,-0.005208071072896322,0.4061800718307495
ids2018,unsw,DeepMLP,427982,0,mean,signed_descending,0.06305191119511923,0.09113916158676146
ids2018,unsw,DeepMLP,553221,0,median,absolute,-0.044011743863423665,-0.03546949625015259
